optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
rmsprop,3,0.0001,50,64,True,220,same,sigmoid,0.2,0.01,74,26,0.1,"[1, 1, 1]",relu,0.754924952984,0.56999284029,0.536145627499,0.932407796383,0.747256159782,0.579405784607,0.546434998512,0.934426307678
sgd,3,0.01,50,64,True,200,same,sigmoid,0.01,0.0001,36,78,0.001,"[1, 1, 1]",softmax,0.869571387768,0.508541345596,0.0,0.0,0.869526326656,0.509861707687,0.0,0.0
sgd,5,0.01,50,128,True,100,same,sigmoid,0.01,0.0001,84,12,0.2,"[1, 4, 8, 8, 4]",relu,0.781530857086,0.504918038845,0.498063445091,0.911265075207,0.781691849232,0.498207002878,0.492520302534,0.906635224819
sgd,2,0.0001,50,256,False,140,same,sigmoid,0.01,0.001,46,74,0.3,"[1, 0.5]",relu,7.85916376114,0.513903141022,0.503087341785,0.88621032238,7.85999107361,0.506380259991,0.496026396751,0.884965181351
sgd,4,0.01,50,128,True,200,same,sigmoid,0.1,0.2,98,14,0.2,"[1, 4, 8, 8]",relu,2.33067846298,0.541393458843,0.518014609814,0.96420198679,2.33110141754,0.538037955761,0.514197766781,0.964829385281
rmsprop,3,0.1,50,128,True,100,same,sigmoid,0.1,0.0001,56,78,0.3,"[1, 1, 1]",relu,,,,,,,,
sgd,4,0.0001,50,64,True,270,same,sigmoid,0.0001,0.3,72,56,0.001,"[1, 0.5, 0.25, 0.25]",tanh,,,,,,,,
sgd,2,0.001,50,128,False,140,same,sigmoid,0.1,0.3,50,54,0.001,"[1, 2]",softmax,4.2190823555,0.508785843849,0.0,0.0,4.21906900406,0.509861707687,0.0,0.0
sgd,5,0.1,50,64,False,160,same,sigmoid,0.2,0.1,90,48,0.1,"[1, 1, 1, 1, 1]",tanh,213.99710083,0.514960110188,0.532119631767,0.106484852731,213.997390747,0.508709073067,0.490437150002,0.0939298793674
rmsprop,1,0.0001,50,256,True,160,same,sigmoid,0.01,0.2,68,48,0.2,[1],relu,0.7546184659,0.568513572216,0.537140488625,0.880211353302,0.756001114845,0.560807347298,0.531290352345,0.875830948353
sgd,2,0.001,50,128,True,140,same,sigmoid,0.0001,0.1,44,10,0.001,"[1, 4]",sigmoid,0.701853990555,0.508632183075,0.0,0.0,0.70176833868,0.511782824993,0.0,0.0
sgd,1,0.0001,50,64,True,250,same,sigmoid,0.0001,0.3,88,78,0.0,[1],relu,9.30085372925,0.514857828617,0.506978332996,0.465004950762,9.30271434784,0.506659865379,0.495600342751,0.456948459148
sgd,5,0.001,50,256,False,110,same,sigmoid,0.3,0.2,82,72,0.1,"[1, 2, 4, 4, 2]",tanh,7.85330295563,0.50850635767,0.0,0.0,7.85290193558,0.512500047684,0.0,0.0
adam,3,0.01,50,64,True,160,same,sigmoid,0.01,0.1,60,24,0.0,"[1, 4, 8]",relu,1.78480160236,0.526340007782,0.509597063065,0.97482842207,1.78351533413,0.52305328846,0.506474077702,0.97302955389
sgd,2,0.0001,50,256,True,170,same,sigmoid,0.0001,0.1,62,68,0.1,"[1, 2]",tanh,102.979705811,0.504625797272,0.496648490429,0.542067289352,102.980133057,0.497656285763,0.491026550531,0.54242670536
sgd,4,0.01,50,256,False,290,same,sigmoid,0.3,0.001,90,62,0.3,"[1, 0.5, 0.25, 0.25]",softmax,1.91926753521,0.508634865284,0.0,0.0,1.91921079159,0.511979222298,0.0,0.0
sgd,5,0.01,50,64,False,140,same,sigmoid,0.0001,0.001,4,10,0.0,"[1, 1, 1, 1, 1]",sigmoid,0.906407773495,0.508797049522,0.500513374805,0.253668427467,0.906323194504,0.516777694225,0.508725523949,0.252758800983
